Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0060070,2023-04-05,2023-04-05,,"Adulterio all'italiana","Adulterio all'italiana",https://www.imdb.com/title/tt0060070/,Film,6.3,93,1966,"Commedia",243,1966-03-25,"Pasquale Festa Campanile",,
2,tt0048947,2023-04-05,2023-04-05,,"Anastasia","Anastasia",https://www.imdb.com/title/tt0048947/,Film,7.0,105,1956,"Biografico, Drammatico, Storico, Sentimentale",9848,1956-12-13,"Anatole Litvak",,
3,tt0058879,2023-04-05,2023-04-05,,"Agente S 03: Operazione Atlantide","Agente S 03: Operazione Atlantide",https://www.imdb.com/title/tt0058879/,Film,4.4,100,1965,"Avventura, Poliziesco, Fantascienza",130,1965-10-22,"Domenico Paolella",,
4,tt0056953,2023-04-05,2023-04-05,,"Agente Coplan: missione spionaggio","Coplan prend des risques",https://www.imdb.com/title/tt0056953/,Film,5.6,89,1964,"Azione, Drammatico",80,1964-05-06,"Maurice Labro",,
5,tt0353260,2023-04-05,2023-04-05,,"Assassinio sulla Costa Azzurra","Les bras de la nuit",https://www.imdb.com/title/tt0353260/,Film,6.3,90,1961,,24,1966,"Jacques Guymont",,
6,tt0199301,2023-04-05,2023-04-05,,"Adolescenti al sole","Adolescenti al sole",https://www.imdb.com/title/tt0199301/,Film,,,1964,,0,1964-04-14,"Giuseppe Aldo Rossi",,
7,tt0055759,2023-04-05,2023-04-05,,"Arsenio Lupin contro Arsenio Lupin","Arsène Lupin contre Arsène Lupin",https://www.imdb.com/title/tt0055759/,Film,5.9,111,1962,"Commedia, Poliziesco, Giallo",218,1962-08-29,"Édouard Molinaro",,
8,tt0046731,2023-04-05,2023-04-05,,"Attila","Attila",https://www.imdb.com/title/tt0046731/,Film,5.4,80,1954,"Biografico, Drammatico, Storico, Guerra",818,1955-11-15,"Pietro Francisci",,
9,tt0158462,2023-04-05,2023-04-05,,"Amore mio","Amore mio",https://www.imdb.com/title/tt0158462/,Film,6.3,95,1964,"Drammatico, Sentimentale",44,,"Raffaello Matarazzo",,
10,tt0039319,2023-04-05,2023-04-05,,"Il diavolo bianco","Il diavolo bianco",https://www.imdb.com/title/tt0039319/,Film,,100,1947,"Drammatico",0,1947-12-31,"Nunzio Malasomma",,
11,tt0191305,2023-04-05,2023-04-05,,"Melodia segreta","Nadia la femme traquée",https://www.imdb.com/title/tt0191305/,Film,,86,1940,,0,1940-12-20,"Claude Orval",,
12,tt0046735,2023-04-05,2023-04-05,,"Avanzi di galera","Avanzi di galera",https://www.imdb.com/title/tt0046735/,Film,5.9,94,1954,"Poliziesco, Drammatico",74,1954-09-18,"Vittorio Cottafavi",,
13,tt0054671,2023-04-05,2023-04-05,,"Battaglia sulla spiaggia insanguinata","Battle at Bloody Beach",https://www.imdb.com/title/tt0054671/,Film,5.4,83,1961,"Drammatico, Guerra",539,1961-06-01,"Herbert Coleman",,
14,tt0059638,2023-04-05,2023-04-05,,"L'armata delle belve","The Ravagers",https://www.imdb.com/title/tt0059638/,Film,4.9,88,1965,"Azione, Drammatico, Guerra",120,1965-02-07,"Eddie Romero",,
15,tt0048973,2023-04-05,2023-04-05,,"Baby Doll - La bambola viva","Baby Doll",https://www.imdb.com/title/tt0048973/,Film,7.3,114,1956,"Commedia, Drammatico",8656,1957-02-28,"Elia Kazan",,
16,tt0268576,2023-04-05,2023-04-05,,"A 117 colpo grosso a Los Angeles","The Right Hand of the Devil",https://www.imdb.com/title/tt0268576/,Film,5.2,67,1963,"Poliziesco, Drammatico",82,1966,"Aram Katcher",,
17,tt0057343,2023-04-05,2023-04-05,,"Le avventure di Scaramouche","La máscara de Scaramouche",https://www.imdb.com/title/tt0057343/,Film,6.0,98,1963,"Avventura",136,1964-02-14,"Antonio Isasi-Isasmendi",,
18,tt0058883,2023-04-05,2023-04-05,,"Agente S3S: operazione Uranio","Der Fluch des schwarzen Rubin",https://www.imdb.com/title/tt0058883/,Film,5.1,102,1965,"Azione, Drammatico",91,1965-09-24,"Manfred R. Köhler",,
19,tt0043072,2023-04-05,2023-04-05,,"I conquistatori della Sirte","Tripoli",https://www.imdb.com/title/tt0043072/,Film,5.7,95,1950,"Azione, Avventura, Storico, Sentimentale, Guerra",540,1950-11-09,"Will Price",,
