const,country,rated,awards,is_adult
tt0018054,United States,,5 wins total,
tt0020459,United States,,1 win,
tt0021695,United States,,,
tt0022251,United States,Approved,,
tt0022395,United Kingdom,TV-G,,
tt0022641,United States,Approved,1 win,
tt0022645,France,,1 nomination total,
tt0022958,United States,Approved,Won 1 Oscar. 9 wins & 1 nomination total,
tt0023241,United States,Passed,1 nomination,
tt0023729,Italy,,,
tt0023826,United States,,,
tt0023943,United States,Passed,,
tt0024216,United States,Approved,4 wins & 8 nominations total,
tt0024249,"Austria, Germany",,,
tt0024852,United States,Approved,,
tt0024953,Italy,,,
tt0024991,United States,Approved,Won 1 Oscar. 2 wins & 4 nominations total,
tt0025191,France,,1 win,
tt0025493,United States,Passed,Won 1 Oscar. 1 win total,
tt0025948,United States,Passed,Won 1 Oscar. 4 wins & 4 nominations total,
tt0026032,United Kingdom,Passed,,
tt0026071,United States,Approved,4 wins total,
tt0026126,United States,Approved,,
tt0026188,Italy,,1 win,
tt0026286,Italy,,,
tt0026348,Italy,,,
tt0026380,Italy,,1 nomination,
tt0026415,Italy,,1 win & 1 nomination,
tt0026613,United States,,,
tt0026648,Italy,,,
tt0027415,United States,Approved,,
tt0027830,United States,Approved,,
tt0027869,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0027887,United Kingdom,Approved,,
tt0028203,United States,Approved,Nominated for 4 Oscars. 1 win & 5 nominations total,
tt0028221,Italy,,1 win & 1 nomination,
tt0028345,United States,Approved,1 nomination total,
tt0028505,United States,Approved,3 wins total,
tt0028683,United States,Approved,Nominated for 1 Oscar. 6 wins & 1 nomination total,
tt0028691,United States,Approved,Won 1 Oscar. 8 wins & 6 nominations total,
tt0028739,United States,Approved,Nominated for 2 Oscars. 3 wins & 2 nominations total,
tt0028767,United Kingdom,,,
tt0029001,United States,Approved,,
tt0029453,France,,2 wins total,
tt0029646,United States,Approved,,
tt0029818,United States,Approved,,
tt0029842,United States,Approved,,
tt0029843,United States,PG,Won 3 Oscars. 11 wins & 2 nominations total,
tt0029877,Italy,,,
tt0029975,Italy,,,
tt0029980,Italy,,,
tt0030012,Italy,,,
tt0030082,United Kingdom,Approved,1 nomination,
tt0030107,Italy,,,
tt0030202,United States,Approved,Won 1 Oscar. 1 win & 3 nominations total,
tt0030271,Germany,,,
tt0030393,Italy,,1 win,
tt0030420,"Italy, Germany",,,
tt0030725,United States,Approved,,
tt0030795,Italy,,,
tt0031070,United States,Approved,,
tt0031074,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0031075,Italy,,,
tt0031094,Italy,,,
tt0031137,United States,Passed,Nominated for 1 Oscar. 1 nomination total,
tt0031146,Italy,,,
tt0031234,United States,Approved,,
tt0031332,Italy,,,
tt0031334,United Kingdom,Approved,2 nominations total,
tt0031381,United States,G,Won 8 Oscars. 26 wins & 10 nominations total,
tt0031455,United States,Approved,Nominated for 2 Oscars. 1 win & 2 nominations total,
tt0031466,United States,Passed,,
tt0031507,United States,Approved,,
tt0031619,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0031642,Italy,,,
tt0031856,Italy,,,
tt0031876,"Italy, France",Approved,,
tt0031949,"Italy, Germany",,1 win & 1 nomination,
tt0031971,United States,Approved,Won 2 Oscars. 10 wins & 5 nominations total,
tt0031972,United States,Approved,,
tt0032145,United States,Approved,Won 1 Oscar. 9 wins & 7 nominations total,
tt0032178,United States,Approved,,
tt0032182,Italy,,,
tt0032200,Italy,Approved,,
tt0032229,Italy,,,
tt0032266,Italy,,,
tt0032273,United States,Approved,Nominated for 2 Oscars. 2 nominations total,
tt0032300,Italy,,,
tt0032302,Italy,,,
tt0032304,United States,Passed,Nominated for 1 Oscar. 1 nomination total,
tt0032307,Italy,,,
tt0032365,Mexico,,,
tt0032383,United States,Approved,Nominated for 2 Oscars. 2 nominations total,
tt0032407,Italy,,,
tt0032454,Italy,,,
tt0032468,Italy,,,
tt0032532,Italy,,,
tt0032571,United Kingdom,Approved,,
tt0032728,United States,Approved,Nominated for 6 Oscars. 3 wins & 7 nominations total,
tt0032734,Italy,,,
tt0032745,"Italy, Germany",,,
tt0032756,Italy,,,
tt0032758,Italy,,,
tt0032762,United States,Approved,Nominated for 1 Oscar. 4 wins & 1 nomination total,
tt0032779,United States,Approved,1 win,
tt0032811,United States,Approved,4 wins total,
tt0032831,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0032851,United States,Approved,Nominated for 1 Oscar. 3 wins & 1 nomination total,
tt0032865,Italy,,1 nomination,
tt0032871,United States,Approved,Nominated for 2 Oscars. 3 nominations total,
tt0032896,Italy,,1 nomination,
tt0032905,Italy,,,
tt0032920,Italy,,,
tt0032935,"Austria, Germany",,1 win,
tt0032976,United States,Approved,Won 2 Oscars. 10 wins & 10 nominations total,
tt0032999,Italy,,1 nomination,
tt0033017,Italy,,,
tt0033026,Italy,,,
tt0033038,United States,Approved,,
tt0033062,United States,Approved,,
tt0033076,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0033105,United States,Approved,,
tt0033127,"France, Germany",,,
tt0033152,"United Kingdom, United States",Approved,Won 3 Oscars. 9 wins & 4 nominations total,
tt0033159,United States,Approved,,
tt0033177,Italy,,,
tt0033238,United States,Approved,Nominated for 2 Oscars. 5 wins & 2 nominations total,
tt0033380,Italy,,,
tt0033389,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0033390,United States,Approved,,
tt0033405,United States,Approved,Won 1 Oscar. 1 win & 3 nominations total,
tt0033431,Italy,,,
tt0033449,"Italy, Spain",,,
tt0033456,Italy,,,
tt0033489,Italy,,1 win,
tt0033490,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0033562,Italy,,,
tt0033588,Italy,,,
tt0033602,Italy,,,
tt0033630,Italy,,,
tt0033688,United States,Approved,,
tt0033776,United States,Approved,,
tt0033807,United States,Approved,,
tt0033825,Italy,,,
tt0033873,United States,Approved,1 win,
tt0033882,Italy,,1 win & 1 nomination,
tt0033946,United States,Passed,,
tt0033964,Italy,,1 nomination,
tt0034022,Italy,,,
tt0034023,Italy,,,
tt0034085,Italy,,,
tt0034090,Italy,,,
tt0034131,Italy,,,
tt0034194,Italy,,,
tt0034242,United States,Approved,Nominated for 3 Oscars. 3 nominations total,
tt0034331,Italy,,,
tt0034346,Italy,,,
tt0034366,Italy,,,
tt0034429,Italy,,1 win & 1 nomination,
tt0034431,United States,Passed,,
tt0034580,Italy,,,
tt0034581,"Italy, France",Approved,,
tt0034588,Italy,,,
tt0034660,Italy,,,
tt0034672,Italy,,,
tt0034687,Italy,,,
tt0034688,Italy,,,
tt0034726,Italy,,,
tt0034762,Italy,,,
tt0034777,United States,Approved,,
tt0034803,Italy,,,
tt0034882,United States,Approved,,
tt0034893,France,,,
tt0034894,Italy,,,
tt0034928,"United States, United Kingdom",Approved,Nominated for 4 Oscars. 2 wins & 5 nominations total,
tt0034936,United States,Approved,,
tt0034956,Italy,,,
tt0034993,United States,Approved,,
tt0034998,United States,Approved,,
tt0035000,Italy,,,
tt0035038,Italy,,,
tt0035046,Italy,,,
tt0035066,Italy,,,
tt0035084,Italy,,,
tt0035099,Italy,,,
tt0035130,Italy,,1 win & 1 nomination,
tt0035158,Italy,,1 nomination,
tt0035160,Italy,TV-14,1 win,
tt0035168,"Italy, Germany",,,
tt0035195,United States,Approved,,
tt0035206,United States,Approved,,
tt0035244,United States,Approved,Won 1 Oscar. 2 wins & 2 nominations total,
tt0035260,Italy,,,
tt0035267,Italy,,,
tt0035306,Italy,,,
tt0035360,United States,Approved,,
tt0035432,United States,Approved,1 win,
tt0035438,United States,Approved,,
tt0035446,United States,Approved,Nominated for 1 Oscar. 5 wins & 2 nominations total,
tt0035559,"Germany, Austria",,1 win & 1 nomination,
tt0035590,Italy,,,
tt0035719,Italy,,,
tt0035740,United States,Approved,,
tt0035752,"France, Italy",,,
tt0035769,United States,Approved,2 wins,
tt0035896,United States,Approved,Won 1 Oscar. 10 wins & 9 nominations total,
tt0035959,United States,Approved,Nominated for 1 Oscar. 2 nominations total,
tt0035993,United States,Passed,Nominated for 1 Oscar. 1 nomination total,
tt0036038,United States,Approved,Nominated for 2 Oscars. 2 nominations total,
tt0036065,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0036123,Italy,,,
tt0036210,Romania,,,
tt0036214,Italy,,,
tt0036377,United States,Approved,Won 4 Oscars. 8 wins & 8 nominations total,
tt0036389,Italy,,,
tt0036413,Italy,,,
tt0036470,Italy,,,
tt0036482,Italy,,,
